text,,,,,,,label
I had a wonderful day.,,,,,,,positive
The weather is beautiful today.,,,,,,,positive
My friend's kindness touched my heart.,,,,,,,positive
This restaurant serves delicious food.,,,,,,,positive
I aced my exam!,,,,,,,positive
I feel so stressed out.,,,,,,,negative
The traffic is unbearable.,,,,,,,negative
My phone battery died.,,,,,,,negative
I had a terrible headache.,,,,,,,negative
The movie was disappointing.,,,,,,,negative
"I enjoyed the first half of the book, but the ending was disappointing.",,,,,,,mixed
"The customer service was great, but the food was mediocre.",,,,,,,mixed
"The concert was amazing, but the venue was too crowded.",,,,,,,mixed
"I love the design of this product, but it's not very functional.",,,,,,,mixed
"The trip was fun overall, but the weather was terrible.",,,,,,,mixed
I had a wonderful day.,,,,,,,positive
The weather is beautiful today.,,,,,,,positive
My friend's kindness touched my heart.,,,,,,,positive
This restaurant serves delicious food.,,,,,,,positive
I aced my exam!,,,,,,,positive
I feel so stressed out.,,,,,,,negative
The traffic is unbearable.,,,,,,,negative
My phone battery died.,,,,,,,negative
I had a terrible headache.,,,,,,,negative
The movie was disappointing.,,,,,,,negative
"I enjoyed the first half of the book, but the ending was disappointing.",,,,,,,mixed
"The customer service was great, but the food was mediocre.",,,,,,,mixed
"The concert was amazing, but the venue was too crowded.",,,,,,,mixed
"I love the design of this product, but it's not very functional.",,,,,,,mixed
"The trip was fun overall, but the weather was terrible.",,,,,,,mixed
