text,label
Get a free iPhone now,SPAM
"Congratulations, you've won a prize!",SPAM
Meeting rescheduled for tomorrow,NON SPAM
Can you please send me the report?,NON SPAM
Urgent: Claim your gift card today!,SPAM
Reminder: Team meeting at 2 PM,NON SPAM
Amazing deals on electronics!,SPAM
Review the project proposal by EOD,NON SPAM
Your account password has been reset,SPAM
Please find the attached invoice,NON SPAM
Exclusive offer for our valued customers!,SPAM
Last call for the conference registration,NON SPAM
Win a luxury vacation for two!,SPAM
Monthly sales report attached,NON SPAM
Lowest prices on clothing and accessories!,SPAM
Important security update required,NON SPAM
Get a 20% discount on your next purchase,SPAM
New product launch event this Friday,NON SPAM
Your package has been delivered,NON SPAM
Unlock the secrets of successful investing,NON SPAM
